state,election_year,county,registered_voters,ballots_cast,president_votes,source_url,source_member
GA,2012,Richmond County,109016,79498,78988,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Richmond_42399_112304-summary.zip
GA,2012,Rockdale County,50676,38260,38069,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Rockdale_42400_112303-summary.zip
GA,2012,Schley County,2401,1760,1748,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Schley_42401_112300-summary.zip
GA,2012,Screven County,8396,6131,6100,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Screven_42402_112299-summary.zip
GA,2012,Seminole County,5025,3795,3769,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Seminole_42403_112297-summary.zip
GA,2012,Spalding County,35670,25200,25081,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Spalding_42404_112294-summary.zip
GA,2012,Stephens County,13880,9568,9489,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Stephens_42405_112292-summary.zip
GA,2012,Stewart County,2973,2093,2076,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Stewart_42406_112287-summary.zip
GA,2012,Sumter County,16217,11916,11831,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Sumter_42407_112283-summary.zip
GA,2012,Talbot County,4537,3516,3491,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Talbot_42408_112280-summary.zip
GA,2012,Taliaferro County,1273,970,963,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Taliaferro_42409_112274-summary.zip
GA,2012,Tattnall County,9601,6713,6665,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Tattnall_42410_112272-summary.zip
GA,2012,Taylor County,5050,3560,3538,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Taylor_42411_112271-summary.zip
GA,2012,Telfair County,5782,4372,4336,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Telfair_42412_112270-summary.zip
GA,2012,Terrell County,5959,4427,4398,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Terrell_42413_112268-summary.zip
GA,2012,Thomas County,25756,19070,18948,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Thomas_42414_112260-summary.zip
