state,election_year,jurisdiction_name,jurisdiction_geoid,jurisdiction_tag,county,local_unit,source_id,source_level,row_method,source_url,source_display_name,source_jurisdiction_name,dem_votes,rep_votes,other_votes,total_votes,notes
MO,2012,Pulaski County,29169,county:29169,Pulaski County,Pulaski County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Pulaski County,Pulaski County,4199,9092,280,13571,
MO,2012,Putnam County,29171,county:29171,Putnam County,Putnam County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Putnam County,Putnam County,587,1673,49,2309,
MO,2012,Ralls County,29173,county:29173,Ralls County,Ralls County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Ralls County,Ralls County,1736,3231,69,5036,
MO,2012,Randolph County,29175,county:29175,Randolph County,Randolph County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Randolph County,Randolph County,3031,6667,246,9944,
MO,2012,Ray County,29177,county:29177,Ray County,Ray County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Ray County,Ray County,4275,5815,277,10367,
MO,2012,Reynolds County,29179,county:29179,Reynolds County,Reynolds County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Reynolds County,Reynolds County,1157,1931,114,3202,
MO,2012,Ripley County,29181,county:29181,Ripley County,Ripley County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Ripley County,Ripley County,1396,3743,124,5263,
MO,2012,Saline County,29195,county:29195,Saline County,Saline County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Saline County,Saline County,3790,5104,214,9108,
MO,2012,Schuyler County,29197,county:29197,Schuyler County,Schuyler County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Schuyler County,Schuyler County,697,1174,68,1939,
MO,2012,Scotland County,29199,county:29199,Scotland County,Scotland County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Scotland County,Scotland County,643,1246,47,1936,
MO,2012,Scott County,29201,county:29201,Scott County,Scott County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Scott County,Scott County,5122,11623,254,16999,
