state,election_year,jurisdiction_code,jurisdiction_name,jurisdiction_geoid,jurisdiction_tag,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status,source_jurisdictions,normalization_note
MO,2024,29127,Marion County,29127,county:29127,Marion County,Marion County,county,13153,19777,66.51,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Marion County,
MO,2024,29119,McDonald County,29119,county:29119,McDonald County,McDonald County,county,9338,15679,59.56,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,McDonald County,
MO,2024,29129,Mercer County,29129,county:29129,Mercer County,Mercer County,county,1792,2517,71.20,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Mercer County,
MO,2024,29131,Miller County,29131,county:29131,Miller County,Miller County,county,13011,18834,69.08,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Miller County,
MO,2024,29133,Mississippi County,29133,county:29133,Mississippi County,Mississippi County,county,4449,8056,55.23,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Mississippi County,
MO,2024,29135,Moniteau County,29135,county:29135,Moniteau County,Moniteau County,county,7275,9824,74.05,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Moniteau County,
MO,2024,29137,Monroe County,29137,county:29137,Monroe County,Monroe County,county,4378,6254,70.00,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Monroe County,
MO,2024,29139,Montgomery County,29139,county:29139,Montgomery County,Montgomery County,county,5998,8479,70.74,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Montgomery County,
MO,2024,29141,Morgan County,29141,county:29141,Morgan County,Morgan County,county,9735,13734,70.88,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Morgan County,
MO,2024,29143,New Madrid County,29143,county:29143,New Madrid County,New Madrid County,county,6811,11532,59.06,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,New Madrid County,
MO,2024,29145,Newton County,29145,county:29145,Newton County,Newton County,county,29097,42687,68.16,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Newton County,
