Office,Parish,Ward,Precinct,"Troy A. Carter, Sr. (DEM)","Devin Davis (DEM)","Devin Lance Graham (REP)","Christy Lynch (REP)","Shondrell Perrilloux (REP)"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","213A","89","9","2","3","3"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","213B","121","15","33","41","8"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","213C","96","21","3","3","2"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","214A","64","11","29","23","2"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","214B","203","33","7","6","5"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","215","222","32","57","70","5"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","216A","182","26","29","18","4"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","216B","115","40","31","35","5"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","217","255","41","72","71","9"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","225","241","43","29","22","3"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","226","247","32","84","78","14"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","227","203","42","53","76","12"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","228","191","25","67","57","7"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","229","119","17","52","54","7"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","230","212","45","96","117","19"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","231","195","31","67","47","9"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","232A","180","32","20","18","6"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","232B","222","30","24","21","2"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","234","244","40","85","98","12"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","235","94","15","24","26","2"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","236","250","26","59","47","4"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","237","250","43","73","57","6"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","238A","202","36","26","26","11"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","238B","171","28","38","46","6"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G001","69","6","29","47","4"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G002","151","17","21","44","4"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G003","139","21","62","86","14"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G004","98","10","10","16","2"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G005","64","9","53","41","5"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G006","143","5","13","9","2"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G007","204","21","17","15","8"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G008","111","27","21","29","8"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G009","146","22","62","85","9"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G010","176","20","70","124","7"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G011","250","29","57","64","17"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G012","75","8","56","54","5"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G013","52","8","27","34","3"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K013B","122","20","24","15","3"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K015","114","42","54","74","7"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K021","146","23","10","3","4"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K022","167","12","3","4","7"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K023","210","50","22","27","9"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K024","112","21","8","12","8"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K026","139","18","8","9","5"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K030","73","12","35","25","5"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K031","93","13","2","1","0"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K033","130","22","11","3","8"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","W001","104","11","40","28","10"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","W002","77","8","2","8","2"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","W003","92","12","68","73","9"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","W004","76","9","41","68","12"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","W005","156","22","111","120","14"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","W006","76","14","68","65","13"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","W007","130","12","100","102","16"
"U. S. Representative -- 2nd Congressional District","Jefferson","Early Voting","","22643","2241","4574","5958","807"
"U. S. Representative -- 2nd Congressional District","Jefferson","Provisional Votes","","9","3","4","1","0"
"U. S. Representative -- 2nd Congressional District","Lafourche","01","02","78","23","52","40","10"
"U. S. Representative -- 2nd Congressional District","Lafourche","01","03","82","23","158","89","16"
"U. S. Representative -- 2nd Congressional District","Lafourche","01","04","92","8","14","15","3"
"U. S. Representative -- 2nd Congressional District","Lafourche","01","05","116","30","184","115","16"
"U. S. Representative -- 2nd Congressional District","Lafourche","01","06","100","25","128","81","8"
"U. S. Representative -- 2nd Congressional District","Lafourche","02","01","35","12","34","28","7"
"U. S. Representative -- 2nd Congressional District","Lafourche","02","01A","46","6","18","20","6"
"U. S. Representative -- 2nd Congressional District","Lafourche","02","03","99","34","159","102","14"
"U. S. Representative -- 2nd Congressional District","Lafourche","02","05","61","11","38","35","5"
"U. S. Representative -- 2nd Congressional District","Lafourche","02","07","153","27","13","7","5"
"U. S. Representative -- 2nd Congressional District","Lafourche","02","09","165","33","17","21","8"
"U. S. Representative -- 2nd Congressional District","Lafourche","02","10","33","12","40","32","4"
"U. S. Representative -- 2nd Congressional District","Lafourche","02","11","142","32","52","39","6"
"U. S. Representative -- 2nd Congressional District","Lafourche","02","16","26","13","11","14","2"
"U. S. Representative -- 2nd Congressional District","Lafourche","05","01","57","9","159","111","21"
"U. S. Representative -- 2nd Congressional District","Lafourche","05","01A","44","4","91","70","7"
