COUNTY|MUNICIPALITY|W/P|CG|SS|SR|CC|D|G|L|NL|R|U|TOTAL|
YOR|OGUNQUIT|1-1|1|35|146|5|29|3|0|1|9|54|96|
YOR|OLD ORCHARD BEACH|1-1|1|31|131|3|448|43|0|0|299|648|1438|
YOR|PARSONSFIELD|1-1|1|22|139|1|47|6|0|1|44|91|189|
YOR|SACO|1-1|1|31|129|3|82|7|0|0|73|123|285|
YOR|SACO|2-1|1|31|126|3|83|12|0|0|71|113|279|
YOR|SACO|3-1|1|31|130|3|102|17|0|0|63|161|343|
YOR|SACO|4-1|1|31|130|3|116|15|0|0|73|150|354|
YOR|SACO|5-1|1|31|129|3|102|13|0|0|58|132|305|
YOR|SACO|6-1|1|31|129|3|58|6|0|0|25|77|166|
YOR|SACO|6-1|1|31|130|3|63|10|0|0|34|103|210|
YOR|SACO|7-1|1|31|129|3|100|19|0|0|40|195|354|
YOR|SACO|7-1|1|31|130|3|23|11|0|0|20|50|104|
YOR|SANFORD|1-1|1|33|141|4|150|21|0|0|113|295|579|
YOR|SANFORD|1-1|1|33|142|4|263|45|0|0|170|662|1140|
YOR|SANFORD|1-1|1|33|143|4|256|45|0|0|184|497|982|
YOR|SHAPLEIGH|1-1|1|22|141|1|45|15|0|0|61|110|231|
YOR|SOUTH BERWICK|1-1|1|35|149|1|196|37|0|0|179|349|761|
YOR|SOUTH BERWICK|1-1|1|35|150|1|49|5|0|0|40|82|176|
YOR|WATERBORO|1-1|1|33|136|4|85|23|0|0|91|143|342|
YOR|WATERBORO|1-1|1|33|139|4|2|0|0|0|1|6|9|
YOR|WATERBORO|2-1|1|33|136|4|21|6|0|1|22|37|87|
YOR|WATERBORO|2-1|1|33|139|4|93|24|0|0|102|181|400|
YOR|WELLS|1-1|1|34|145|5|207|17|0|0|250|594|1068|
YOR|WELLS|1-1|1|34|146|5|104|6|0|0|82|160|352|
YOR|YORK|1-1|1|35|146|5|148|15|0|0|108|259|530|
YOR|YORK|1-1|1|35|147|5|341|28|0|0|296|611|1276|
